long,width,MO,TU,WE,TH,FR,SA,SU,People,Area,Rooms,Day_Mean,Cubic_Metre,Day_Weight,Dynamic_Density,Type_Num,Type_Name
267,389,0.02,0.19,0.01,0.03,0.04,0.11,0.32,2588,8794,2156,0.102857143,0.061714286,59,956.0185185,0,Harmful
261,384,0.21,0.08,0.06,0.01,0.08,0.07,0.12,2265,6897,1824,0.09,0.054,65,1203.703704,0,Harmful
255,370,0.05,0.05,0.06,0.02,0.12,0.09,0.11,2076,6477,1613,0.071428571,0.042857143,59,1376.666667,0,Harmful
250,378,0.07,0.04,0.04,0.06,0.02,0.14,0.57,2145,6874,1744,0.134285714,0.080571429,87,1079.787234,0,Harmful
267,389,1.8,1.3,1.2,1.7,1.1,2.3,3.1,2588,8794,2156,1.785714286,1.071428571,741,691.6,1,KitchenGarbage
261,384,1.4,1.5,1.6,2.4,1.4,2.2,2.4,2265,6897,1824,1.842857143,1.105714286,623,563.4366925,1,KitchenGarbage
255,370,1.3,1.4,1.2,1.3,1.8,2.6,2.6,2076,6477,1613,1.742857143,1.045714286,447,427.4590164,1,KitchenGarbage
250,378,1.2,1.2,1.6,1.3,1.7,2.4,2.7,2145,6874,1744,1.728571429,1.037142857,497,479.2011019,1,KitchenGarbage
267,389,0.7,0.3,0.6,0.4,0.6,0.8,1.2,2588,8794,2156,0.657142857,0.394285714,45,114.1304348,2,Recovery
261,384,0.4,0.5,0.7,0.4,0.5,1.1,1.3,2265,6897,1824,0.7,0.42,76,180.952381,2,Recovery
255,370,0.3,0.6,0.4,0.6,0.4,1.2,0.9,2076,6477,1613,0.628571429,0.377142857,47,124.6212121,2,Recovery
250,378,0.4,0.5,0.7,0.6,0.7,1.6,1.5,2145,6874,1744,0.857142857,0.514285714,131,254.7222222,2,Recovery
267,389,2.5,3.4,2.7,2.6,3.1,4.3,4.9,2588,8794,2156,3.357142857,2.014285714,453,224.893617,3,Other
261,384,3.1,2.9,3.4,2.7,3.2,4.2,5.1,2265,6897,1824,3.514285714,2.108571429,264,125.203252,3,Other
255,370,2.8,3.5,3.2,2.5,2.9,4.4,4.8,2076,6477,1613,3.442857143,2.065714286,346,167.4965422,3,Other
250,378,2.3,3.2,2.6,3.5,2.8,4.8,4.7,2145,6874,1744,3.414285714,2.048571429,257,125.4532775,3,Other
